,property_type,region,area_m2,country,state,city,lat,lon,price_brl,has_city,has_geo,area_missing_flag,geo_resolution,price_per_m2_raw,area_m2_group_median_x,area_m2_imputed,area_imputed_flag,price_per_m2,area_m2_group_median_y,area_m2_group_median
34,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,772327.25,1,1,0,2,3823.4022277227723,170.0,202.0,0,3823.4022277227723,170.0,170.0
35,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,436871.95,1,1,0,2,3640.5995833333336,103.0,120.0,0,3640.5995833333336,103.0,103.0
36,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,772327.25,1,1,0,2,3823.4022277227723,170.0,202.0,0,3823.4022277227723,170.0,170.0
37,apartment,Northeast,82.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,436871.95,1,1,0,2,5327.706707317073,103.0,82.0,0,5327.706707317073,103.0,103.0
38,apartment,Northeast,88.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,842538.85,1,1,0,2,9574.305113636363,103.0,88.0,0,9574.305113636363,103.0,103.0
39,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,772327.25,1,1,0,2,3823.4022277227723,170.0,202.0,0,3823.4022277227723,170.0,170.0
40,apartment,Northeast,127.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,1014167.1000000001,1,1,0,2,7985.567716535434,103.0,127.0,0,7985.567716535434,103.0,103.0
41,house,Northeast,240.0,Brasil,Bahia,Salvador,-13.010818,-38.48336,1872308.55,1,1,0,2,7801.285625,170.0,240.0,0,7801.285625,170.0,170.0
42,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1012606.85,1,1,0,2,7284.941366906474,103.0,139.0,0,7284.941366906474,103.0,103.0
43,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1028209.4,1,1,0,2,7397.189928057554,103.0,139.0,0,7397.189928057554,103.0,103.0
44,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1636709.7,1,1,0,2,11774.889928057553,103.0,139.0,0,11774.889928057553,103.0,103.0
45,house,Northeast,191.0,Brasil,Bahia,Salvador,-12.930742,-38.365299,655307.95,1,1,0,2,3430.93167539267,170.0,191.0,0,3430.93167539267,170.0,170.0
46,apartment,Northeast,84.0,Brasil,Bahia,Mata de São João,-12.477871,-38.126591,546089.9500000001,1,1,0,2,6501.070833333334,103.0,84.0,0,6501.070833333334,103.0,103.0
47,apartment,Northeast,161.0,Brasil,Bahia,Salvador,,,1890627.5,1,0,0,2,11743.02795031056,103.0,161.0,0,11743.02795031056,103.0,103.0
48,apartment,Northeast,57.0,Brasil,Bahia,Salvador,-12.939807,-38.367931,466516.85,1,1,0,2,8184.506140350877,103.0,57.0,0,8184.506140350877,103.0,103.0
49,apartment,Northeast,182.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,2340385.65,1,1,0,2,12859.261813186813,103.0,182.0,0,12859.261813186813,103.0,103.0
50,house,Northeast,200.0,Brasil,Bahia,Salvador,,,936154.25,1,0,0,2,4680.77125,170.0,200.0,0,4680.77125,170.0,170.0
51,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,1029769.7,1,1,0,2,8954.519130434783,103.0,115.0,0,8954.519130434783,103.0,103.0
52,apartment,Northeast,105.0,Brasil,Bahia,Salvador,-12.996323,-38.481049,530487.4,1,1,0,2,5052.260952380952,103.0,105.0,0,5052.260952380952,103.0,103.0
53,apartment,Northeast,108.0,Brasil,Bahia,Mata de São João,-12.477871,-38.126591,514884.85,1,1,0,2,4767.452314814815,103.0,108.0,0,4767.452314814815,103.0,103.0
54,apartment,Northeast,72.0,Brasil,Bahia,Salvador,-12.965071,-38.435036,717042.65,1,1,0,2,9958.925694444444,103.0,72.0,0,9958.925694444444,103.0,103.0
55,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,606940.0,1,1,0,2,11239.62962962963,103.0,54.0,0,11239.62962962963,103.0,103.0
56,apartment,Northeast,55.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,447793.75,1,1,0,2,8141.704545454545,103.0,55.0,0,8141.704545454545,103.0,103.0
57,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,772327.25,1,1,0,2,11033.246428571429,103.0,70.0,0,11033.246428571429,103.0,103.0
