,precision,recall,f1-score,support
0,0.8152173913043478,0.9375,0.872093023255814,80.0
1,0.5588235294117647,0.6785714285714286,0.6129032258064516,28.0
2,0.4,0.2222222222222222,0.2857142857142857,18.0
3,0.375,0.2727272727272727,0.3157894736842105,22.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,1.0
accuracy,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895
macro avg,0.35817348678601874,0.3518368205868206,0.34775000141012696,152.0
weighted avg,0.6336476982097187,0.6842105263157895,0.6514405114931284,152.0
