class,count,fold
0,133,0
1,47,0
2,30,0
3,37,0
4,26,0
5,25,0
0,132,1
1,47,1
2,31,1
3,37,1
4,26,1
5,25,1
0,133,2
1,47,2
2,31,2
3,37,2
4,25,2
5,25,2
