class,count,fold
0,133,0
1,47,0
2,30,0
3,37,0
4,5,0
5,1,0
0,132,1
1,47,1
2,31,1
3,37,1
4,5,1
5,1,1
0,133,2
1,47,2
2,31,2
3,37,2
4,4,2
5,1,2
